SUMMARY	pathsChanged=89	propertyChanges=156	deleted=11	extra=0
kind	path	property	codeDefault	currentPlayMode
CHANGED	SafeArea/BlueprintCoreIcon	anchoredPosition	(174.000, -189.000)	(156.000, -189.000)
CHANGED	SafeArea/BlueprintCoreIcon	Image.preserveAspect	False	True
CHANGED	SafeArea/BlueprintCoreValue	anchoredPosition	(248.000, -186.000)	(220.900, -189.000)
CHANGED	SafeArea/BossChallengeButton	Image.preserveAspect	False	True
CHANGED	SafeArea/BossChallengeButton	Image.color	RGBA(0.920, 0.320, 0.260, 1.000)	RGBA(1.000, 1.000, 1.000, 1.000)
CHANGED	SafeArea/BossChallengeButton/BossActionText	anchoredPosition	(54.000, 0.000)	(43.051, 0.000)
CHANGED	SafeArea/BossChallengeButton/BossActionText	sizeDelta	(188.000, 64.000)	(209.897, 64.000)
CHANGED	SafeArea/BossChallengeButton/BossChallengeIcon	Image.preserveAspect	False	True
CHANGED	SafeArea/BossWarningPanel	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation	sibling	1	0
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation	anchoredPosition	(-390.000, 0.000)	(-296.000, -28.000)
DELETED	SafeArea/BottomNavigationBar/EquipmentNavigation/feature_equipment	object	present	absent
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation/Icon	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation/LockedIcon	sibling	3	2
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation/LockedIcon	activeSelf	True	False
CHANGED	SafeArea/BottomNavigationBar/EquipmentNavigation/LockedIcon	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/HomeNavigation	sibling	3	2
CHANGED	SafeArea/BottomNavigationBar/HomeNavigation	anchoredPosition	(-78.000, 0.000)	(0.000, -13.000)
DELETED	SafeArea/BottomNavigationBar/HomeNavigation/home	object	present	absent
CHANGED	SafeArea/BottomNavigationBar/HomeNavigation/Icon	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation	sibling	5	4
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation	anchoredPosition	(234.000, 0.000)	(455.000, 1529.000)
DELETED	SafeArea/BottomNavigationBar/MissionsNavigation/feature_missions	object	present	absent
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation/Icon	sizeDelta	(72.000, 72.000)	(93.600, 93.600)
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation/Icon	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation/LockedIcon	sibling	3	2
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation/LockedIcon	activeSelf	True	False
CHANGED	SafeArea/BottomNavigationBar/MissionsNavigation/LockedIcon	Image.preserveAspect	False	True
CHANGED	SafeArea/BottomNavigationBar/MuseumNavigation	sibling	4	3
CHANGED	SafeArea/BottomNavigationBar/MuseumNavigation	anchoredPosition	(78.000, 0.000)	(162.000, -32.000)
DELETED	SafeArea/BottomNavigationBar/MuseumNavigation/feature_museum	object	present	absent
