path	sibling	activeSelf	activeInHierarchy	anchorMin	anchorMax	pivot	anchoredPosition	sizeDelta	localScale	rectSize	componentState
SafeArea	0	True	True	(0.000, 0.000)	(1.000, 1.000)	(0.500, 0.500)	(0.000, 0.000)	(0.000, 0.000)	(1.000, 1.000, 1.000)	(1080.000, 2316.000)	none
SafeArea/ActionFeedback	13	False	False	(0.500, 0.510)	(0.500, 0.510)	(0.500, 0.500)	(0.000, 0.000)	(680.000, 106.000)	(1.000, 1.000, 1.000)	(680.000, 106.000)	Text[name=ActionFeedback,value=미션 · 준비 중,font=sans-serif-black,fontSize=46,align=MiddleCenter,raycast=True,color=RGBA(0.660, 0.820, 1.000, 1.000)]
SafeArea/ActionFeedbackSurface	12	False	False	(0.500, 0.510)	(0.500, 0.510)	(0.500, 0.500)	(0.000, 0.000)	(540.000, 88.000)	(1.000, 1.000, 1.000)	(540.000, 88.000)	Image[type=Simple,sprite=null,preserve=False,fill=1,raycast=False,color=RGBA(0.000, 0.000, 0.000, 0.000)]
SafeArea/ActionSurface	3	True	True	(0.500, 0.330)	(0.500, 0.330)	(0.500, 0.500)	(0.000, 0.000)	(560.000, 220.000)	(1.000, 1.000, 1.000)	(560.000, 220.000)	Image[type=Simple,sprite=null,preserve=False,fill=1,raycast=False,color=RGBA(0.000, 0.000, 0.000, 0.000)]
SafeArea/BlueprintCoreIcon	20	True	True	(0.500, 1.000)	(0.500, 1.000)	(0.500, 0.500)	(156.000, -189.000)	(48.000, 48.000)	(1.000, 1.000, 1.000)	(48.000, 48.000)	Image[type=Simple,sprite=,preserve=True,fill=1,raycast=False,color=RGBA(1.000, 1.000, 1.000, 1.000)]
SafeArea/BlueprintCoreValue	21	True	True	(0.500, 1.000)	(0.500, 1.000)	(0.500, 0.500)	(220.900, -189.000)	(76.000, 60.000)	(1.000, 1.000, 1.000)	(76.000, 60.000)	Text[name=BlueprintCoreValue,value=0,font=Noto Sans CJK KR,fontSize=26,align=MiddleLeft,raycast=True,color=RGBA(1.000, 1.000, 1.000, 1.000)]
SafeArea/BossChallengeButton	26	True	True	(0.500, 0.000)	(0.500, 0.000)	(0.500, 0.500)	(0.000, 650.000)	(322.000, 90.000)	(1.000, 1.000, 1.000)	(322.000, 90.000)	Image[type=Simple,sprite=,preserve=True,fill=1,raycast=True,color=RGBA(1.000, 1.000, 1.000, 1.000)];Button[interactable=True,target=BossChallengeButton]
SafeArea/BossChallengeButton/BossActionText	2	True	True	(0.500, 0.500)	(0.500, 0.500)	(0.500, 0.500)	(43.051, 0.000)	(209.897, 64.000)	(1.000, 1.000, 1.000)	(209.897, 64.000)	Text[name=BossActionText,value=보스\n도전,font=sans-serif-black,fontSize=25,align=MiddleCenter,raycast=True,color=RGBA(1.000, 1.000, 1.000, 1.000)]
SafeArea/BossChallengeButton/BossChallengeIcon	1	True	True	(0.000, 0.500)	(0.000, 0.500)	(0.500, 0.500)	(52.000, 0.000)	(76.000, 76.000)	(1.000, 1.000, 1.000)	(76.000, 76.000)	Image[type=Simple,sprite=,preserve=True,fill=1,raycast=False,color=RGBA(1.000, 1.000, 1.000, 1.000)]
SafeArea/BossChallengeButton/Label	0	False	False	(0.000, 0.000)	(1.000, 1.000)	(0.500, 0.500)	(0.000, 0.000)	(0.000, 0.000)	(1.000, 1.000, 1.000)	(322.000, 90.000)	Text[name=Label,value=,font=Noto Sans CJK KR,fontSize=27,align=MiddleCenter,raycast=True,color=RGBA(1.000, 1.000, 1.000, 1.000)]
SafeArea/BossWarningPanel	24	True	True	(0.500, 1.000)	(0.500, 1.000)	(0.500, 0.500)	(0.000, -560.000)	(300.000, 96.000)	(1.000, 1.000, 1.000)	(300.000, 96.000)	Image[type=Simple,sprite=,preserve=True,fill=1,raycast=False,color=RGBA(1.000, 1.000, 1.000, 1.000)]
